,TM,DR,min,q1,median,q3,max
0,"(NMF,+,+)",MDS,0.32,0.37,0.4,0.42,0.47
1,"(NMF,+,+)",SOM,0.49,0.59,0.63,0.67,0.74
2,"(NMF,+,+)",TSNE,0.36,0.64,0.71,0.74,0.77
3,"(NMF,+,+)",UMAP,0.48,0.64,0.69,0.72,0.76
4,"(LDA,X,+)",MDS,0.34,0.38,0.39,0.43,0.49
5,"(LDA,X,+)",SOM,0.42,0.54,0.58,0.64,0.7
6,"(LDA,X,+)",TSNE,0.42,0.6,0.65,0.68,0.73
7,"(LDA,X,+)",UMAP,0.47,0.59,0.63,0.66,0.73
8,"(NMF,-,+)",MDS,0.34,0.37,0.39,0.43,0.46
9,"(NMF,-,+)",SOM,0.37,0.52,0.58,0.62,0.74
10,"(NMF,-,+)",TSNE,0.37,0.57,0.62,0.7,0.77
11,"(NMF,-,+)",UMAP,0.38,0.59,0.61,0.68,0.76
12,"(VSM,-,X)",MDS,0.3,0.31,0.37,0.43,0.45
13,"(VSM,-,X)",SOM,0.3,0.41,0.49,0.53,0.7
14,"(VSM,-,X)",TSNE,0.32,0.63,0.68,0.75,0.77
15,"(VSM,-,X)",UMAP,0.41,0.51,0.59,0.61,0.73
16,"(NMF,-,-)",MDS,0.34,0.36,0.4,0.43,0.46
17,"(NMF,-,-)",SOM,0.38,0.51,0.56,0.61,0.73
18,"(NMF,-,-)",TSNE,0.37,0.56,0.62,0.67,0.76
19,"(NMF,-,-)",UMAP,0.39,0.5525,0.6,0.63,0.75
20,"(LSI,-,+)",MDS,0.33,0.35,0.39,0.43,0.46
21,"(LSI,-,+)",SOM,0.3,0.51,0.54,0.56,0.74
22,"(LSI,-,+)",TSNE,0.38,0.63,0.69,0.73,0.78
23,"(LSI,-,+)",UMAP,0.44,0.55,0.6,0.63,0.76
24,"(BERT,X,X)",MDS,0.32,0.38,0.415,0.435,0.47
25,"(BERT,X,X)",SOM,0.46,0.52,0.56,0.6575,0.75
26,"(BERT,X,X)",TSNE,0.4,0.6,0.64,0.73,0.77
27,"(BERT,X,X)",UMAP,0.49,0.59,0.62,0.68,0.76
28,"(LDA,X,-)",MDS,0.34,0.36,0.41,0.4575,0.48
29,"(LDA,X,-)",SOM,0.4,0.53,0.57,0.64,0.68
30,"(LDA,X,-)",TSNE,0.41,0.59,0.64,0.68,0.73
31,"(LDA,X,-)",UMAP,0.46,0.59,0.61,0.66,0.71
32,"(LSI,+,+)",MDS,0.33,0.35,0.42,0.43,0.46
33,"(LSI,+,+)",SOM,0.3,0.59,0.66,0.68,0.76
34,"(LSI,+,+)",TSNE,0.38,0.67,0.74,0.75,0.79
35,"(LSI,+,+)",UMAP,0.52,0.63,0.675,0.71,0.78
36,"(VSM,+,X)",MDS,0.29,0.31,0.39,0.455,0.47
37,"(VSM,+,X)",SOM,0.5,0.54,0.56,0.6,0.74
38,"(VSM,+,X)",TSNE,0.33,0.61,0.69,0.75,0.77
39,"(VSM,+,X)",UMAP,0.36,0.41,0.58,0.67,0.76
40,"(NMF,+,-)",MDS,0.32,0.38,0.4,0.43,0.47
41,"(NMF,+,-)",SOM,0.48,0.6,0.62,0.64,0.73
42,"(NMF,+,-)",TSNE,0.36,0.64,0.7,0.74,0.76
43,"(NMF,+,-)",UMAP,0.49,0.63,0.66,0.71,0.76
44,"(LSI,+,-)",MDS,0.33,0.35,0.42,0.43,0.46
45,"(LSI,+,-)",SOM,0.54,0.6,0.66,0.69,0.76
46,"(LSI,+,-)",TSNE,0.38,0.67,0.73,0.7424999999999999,0.79
47,"(LSI,+,-)",UMAP,0.51,0.63,0.69,0.72,0.78
48,"(LSI,-,-)",MDS,0.33,0.35,0.39,0.43,0.46
49,"(LSI,-,-)",SOM,0.43,0.52,0.55,0.59,0.74
50,"(LSI,-,-)",TSNE,0.38,0.64,0.69,0.73,0.78
51,"(LSI,-,-)",UMAP,0.45,0.56,0.62,0.65,0.76
