,TM,DR,min,q1,median,q3,max
0,"(NMF,+,+)",MDS,0.33,0.38,0.4,0.42,0.54
1,"(NMF,+,+)",SOM,0.43,0.49,0.5,0.52,0.56
2,"(NMF,+,+)",TSNE,0.39,0.49,0.53,0.55,0.67
3,"(NMF,+,+)",UMAP,0.42,0.49,0.51,0.57,0.63
4,"(LDA,X,+)",MDS,0.36,0.37,0.4,0.42,0.55
5,"(LDA,X,+)",SOM,0.27,0.48,0.49,0.5,0.56
6,"(LDA,X,+)",TSNE,0.14,0.48,0.5,0.53,0.64
7,"(LDA,X,+)",UMAP,0.43,0.49,0.5,0.52,0.58
8,"(NMF,-,+)",MDS,0.37,0.38,0.42,0.42,0.57
9,"(NMF,-,+)",SOM,0.36,0.44,0.48,0.51,0.6
10,"(NMF,-,+)",TSNE,0.27,0.46,0.49,0.52,0.71
11,"(NMF,-,+)",UMAP,0.41,0.46,0.49,0.51,0.68
12,"(VSM,-,X)",MDS,0.1,0.36,0.42,0.43,0.55
13,"(VSM,-,X)",SOM,0.36,0.43,0.45,0.5,0.58
14,"(VSM,-,X)",TSNE,0.37,0.5,0.52,0.57,0.78
15,"(VSM,-,X)",UMAP,0.25,0.46,0.48,0.53,0.63
16,"(NMF,-,-)",MDS,0.34,0.37,0.4,0.43,0.56
17,"(NMF,-,-)",SOM,0.15,0.43,0.48,0.5,0.58
18,"(NMF,-,-)",TSNE,0.3,0.46,0.48,0.52,0.7
19,"(NMF,-,-)",UMAP,0.37,0.44,0.49,0.51,0.66
20,"(LSI,-,+)",MDS,0.37,0.39,0.42,0.43,0.54
21,"(LSI,-,+)",SOM,0.23,0.46,0.48,0.51,0.62
22,"(LSI,-,+)",TSNE,0.39,0.5,0.51,0.53,0.72
23,"(LSI,-,+)",UMAP,0.37,0.45,0.5,0.55,0.66
24,"(BERT,X,X)",MDS,0.32,0.365,0.38,0.405,0.56
25,"(BERT,X,X)",SOM,0.2,0.48,0.5,0.52,0.64
26,"(BERT,X,X)",TSNE,0.39,0.5,0.54,0.58,0.65
27,"(BERT,X,X)",UMAP,0.37,0.51,0.56,0.58,0.68
28,"(LDA,X,-)",MDS,0.37,0.38,0.42,0.42,0.58
29,"(LDA,X,-)",SOM,0.4,0.47,0.48,0.49,0.56
30,"(LDA,X,-)",TSNE,0.19,0.5,0.51,0.52,0.64
31,"(LDA,X,-)",UMAP,0.26,0.48,0.5,0.51,0.57
32,"(LSI,+,+)",MDS,0.35,0.38,0.39,0.42,0.55
33,"(LSI,+,+)",SOM,0.41,0.5,0.53,0.56,0.64
34,"(LSI,+,+)",TSNE,0.36,0.51,0.53,0.58,0.8
35,"(LSI,+,+)",UMAP,0.45,0.51,0.53,0.57,0.72
36,"(VSM,+,X)",MDS,0.33,0.37,0.41,0.43,0.55
37,"(VSM,+,X)",SOM,0.37,0.46,0.48,0.51,0.63
38,"(VSM,+,X)",TSNE,0.38,0.51,0.54,0.62,0.88
39,"(VSM,+,X)",UMAP,0.29,0.43,0.48,0.54,0.72
40,"(NMF,+,-)",MDS,0.37,0.38,0.41,0.42,0.53
41,"(NMF,+,-)",SOM,0.44,0.47,0.49,0.5,0.55
42,"(NMF,+,-)",TSNE,0.39,0.49,0.53,0.55,0.71
43,"(NMF,+,-)",UMAP,0.25,0.48,0.49,0.54,0.62
44,"(LSI,+,-)",MDS,0.35,0.38,0.39,0.42,0.55
45,"(LSI,+,-)",SOM,0.42,0.5,0.53,0.56,0.64
46,"(LSI,+,-)",TSNE,0.39,0.51,0.53,0.58,0.8
47,"(LSI,+,-)",UMAP,0.37,0.51,0.53,0.57,0.72
48,"(LSI,-,-)",MDS,0.37,0.39,0.42,0.43,0.55
49,"(LSI,-,-)",SOM,0.19,0.45,0.48,0.5,0.65
50,"(LSI,-,-)",TSNE,0.39,0.5,0.51,0.53,0.72
51,"(LSI,-,-)",UMAP,0.21,0.45,0.5,0.55,0.66
