,TM,DR,value
0,"(LSI,+,+)",MDS,0.0
1,"(LSI,+,+)",UMAP,0.050000000000000044
2,"(LSI,+,+)",TSNE,0.12
3,"(LSI,+,-)",MDS,0.0
4,"(LSI,+,-)",UMAP,0.16000000000000003
5,"(LSI,+,-)",TSNE,0.12
6,"(VSM,-,X)",MDS,0.0
7,"(VSM,-,X)",UMAP,0.10999999999999999
8,"(VSM,-,X)",TSNE,0.06999999999999995
9,"(NMF,-,+)",MDS,0.0
10,"(NMF,-,+)",UMAP,0.0
11,"(NMF,-,+)",TSNE,0.07999999999999996
12,"(LSI,-,-)",MDS,0.0
13,"(LSI,-,-)",UMAP,0.010000000000000009
14,"(LSI,-,-)",TSNE,0.06999999999999995
15,"(LDA,X,+)",MDS,0.0
16,"(LDA,X,+)",UMAP,0.040000000000000036
17,"(LDA,X,+)",TSNE,0.12
18,"(NMF,-,-)",MDS,0.0
19,"(NMF,-,-)",UMAP,0.0
20,"(NMF,-,-)",TSNE,0.12
21,"(LSI,-,+)",MDS,0.0
22,"(LSI,-,+)",UMAP,0.0
23,"(LSI,-,+)",TSNE,0.06999999999999995
24,"(BERT,X,X)",MDS,0.0
25,"(BERT,X,X)",UMAP,0.13
26,"(BERT,X,X)",TSNE,0.15000000000000002
27,"(NMF,+,+)",MDS,0.0
28,"(NMF,+,+)",UMAP,0.020000000000000018
29,"(NMF,+,+)",TSNE,0.08999999999999997
30,"(NMF,+,-)",MDS,0.0
31,"(NMF,+,-)",UMAP,0.020000000000000018
32,"(NMF,+,-)",TSNE,0.06999999999999995
33,"(VSM,+,X)",MDS,0.0
34,"(VSM,+,X)",UMAP,0.12
35,"(VSM,+,X)",TSNE,0.07999999999999996
36,"(LDA,X,-)",MDS,0.0
37,"(LDA,X,-)",UMAP,0.16000000000000003
38,"(LDA,X,-)",TSNE,0.030000000000000027
