,Dataset,Layout,value
0,20 Newsgroup,"(VSM,+,MDS,X)",0.34
1,20 Newsgroup,"(LSI,-,MDS,-)",0.34
2,20 Newsgroup,"(BERT,X,MDS,X)",0.35
3,20 Newsgroup,"(LSI,+,MDS,-)",0.33
4,20 Newsgroup,"(NMF,+,MDS,-)",0.34
5,20 Newsgroup,"(VSM,-,MDS,X)",0.34
6,20 Newsgroup,"(NMF,-,MDS,-)",0.35
7,20 Newsgroup,"(LDA,X,MDS,-)",0.35
8,20 Newsgroup,"(NMF,-,MDS,+)",0.34
9,20 Newsgroup,"(LDA,X,MDS,+)",0.34
10,20 Newsgroup,"(NMF,+,MDS,+)",0.32
11,20 Newsgroup,"(LSI,-,MDS,+)",0.34
12,20 Newsgroup,"(LSI,+,MDS,+)",0.35
13,20 Newsgroup,"(VSM,+,SOM,X)",0.61
14,20 Newsgroup,"(LSI,-,SOM,-)",0.63
15,20 Newsgroup,"(BERT,X,SOM,X)",0.59
16,20 Newsgroup,"(LSI,+,SOM,-)",0.69
17,20 Newsgroup,"(NMF,+,SOM,-)",0.63
18,20 Newsgroup,"(VSM,-,SOM,X)",0.39
19,20 Newsgroup,"(NMF,-,SOM,-)",0.53
20,20 Newsgroup,"(LDA,X,SOM,-)",0.56
21,20 Newsgroup,"(NMF,-,SOM,+)",0.55
22,20 Newsgroup,"(LDA,X,SOM,+)",0.58
23,20 Newsgroup,"(NMF,+,SOM,+)",0.64
24,20 Newsgroup,"(LSI,-,SOM,+)",0.57
25,20 Newsgroup,"(LSI,+,SOM,+)",0.69
26,20 Newsgroup,"(VSM,+,UMAP,X)",0.57
27,20 Newsgroup,"(LSI,-,UMAP,-)",0.7
28,20 Newsgroup,"(BERT,X,UMAP,X)",0.67
29,20 Newsgroup,"(LSI,+,UMAP,-)",0.75
30,20 Newsgroup,"(NMF,+,UMAP,-)",0.71
31,20 Newsgroup,"(VSM,-,UMAP,X)",0.55
32,20 Newsgroup,"(NMF,-,UMAP,-)",0.59
33,20 Newsgroup,"(LDA,X,UMAP,-)",0.63
34,20 Newsgroup,"(NMF,-,UMAP,+)",0.61
35,20 Newsgroup,"(LDA,X,UMAP,+)",0.65
36,20 Newsgroup,"(NMF,+,UMAP,+)",0.72
37,20 Newsgroup,"(LSI,-,UMAP,+)",0.69
38,20 Newsgroup,"(LSI,+,UMAP,+)",0.75
39,20 Newsgroup,"(VSM,+,TSNE,X)",0.77
40,20 Newsgroup,"(LSI,-,TSNE,-)",0.77
41,20 Newsgroup,"(BERT,X,TSNE,X)",0.73
42,20 Newsgroup,"(LSI,+,TSNE,-)",0.79
43,20 Newsgroup,"(NMF,+,TSNE,-)",0.74
44,20 Newsgroup,"(VSM,-,TSNE,X)",0.76
45,20 Newsgroup,"(NMF,-,TSNE,-)",0.59
46,20 Newsgroup,"(LDA,X,TSNE,-)",0.65
47,20 Newsgroup,"(NMF,-,TSNE,+)",0.62
48,20 Newsgroup,"(LDA,X,TSNE,+)",0.67
49,20 Newsgroup,"(NMF,+,TSNE,+)",0.74
50,20 Newsgroup,"(LSI,-,TSNE,+)",0.77
51,20 Newsgroup,"(LSI,+,TSNE,+)",0.79
52,Emails,"(VSM,+,MDS,X)",0.46
53,Emails,"(LSI,-,MDS,-)",0.46
54,Emails,"(BERT,X,MDS,X)",0.47
55,Emails,"(LSI,+,MDS,-)",0.46
56,Emails,"(NMF,+,MDS,-)",0.47
57,Emails,"(VSM,-,MDS,X)",0.45
58,Emails,"(NMF,-,MDS,-)",0.46
59,Emails,"(LDA,X,MDS,-)",0.48
60,Emails,"(NMF,-,MDS,+)",0.46
61,Emails,"(LDA,X,MDS,+)",0.49
62,Emails,"(NMF,+,MDS,+)",0.47
63,Emails,"(LSI,-,MDS,+)",0.46
64,Emails,"(LSI,+,MDS,+)",0.46
65,Emails,"(VSM,+,SOM,X)",0.59
66,Emails,"(LSI,-,SOM,-)",0.58
67,Emails,"(BERT,X,SOM,X)",0.65
68,Emails,"(LSI,+,SOM,-)",0.7
